00000000120260105CH000012345SUBSCRIPTION         
00000000120260110CR000050000BIG CREDIT            
00000000220260108CH000003000USAGE                
00000000920260109CH000001000NO CUSTOMER           
00000000320261301CH000002000BAD DATE             
00000000420260101CH000005000SERVICE FEE          
00000000520260102CR000020000PROMO CREDIT         
00000000620260103CH000008500MONTHLY FEE          
00000000720260104FE000001500LATE CHARGE          
00000000820260105CH000003200VOIP USAGE           
00000000920260106CR000015000ADJUSTMENT           
00000001020260107CH000006700INTERNET FEE         
00000001120260108CR000010000REFUND               
00000001220260109CH000004500DATA OVERAGE         
00000001320260110FE000002000NSF CHARGE           
00000001420260111CH000009200PHONE CALLS          
00000001520260112CR000025000CREDIT MEMO          
00000001620260113CH000002800ROAMING              
00000001720260114CH000007100PREMIUM SERVICE      
00000001820260115CR000030000EARLY PAYMENT        
00000001920260116FE000001200SETUP FEE            
00000002020260117CH000005600SUBSCRIPTION         
00000002120260118CR000018000REBATE               
00000002220260119CH000003900MESSAGING            
00000002320260120CH000006400ACTIVATION           
00000002420260121CR000022000DISCOUNT             
00000002520260122FE000001800RECONNECT FEE        
00000002620260123CH000004200UPGRADE              
00000002720260124CR000012000PARTIAL REFUND       
00000002820260125CH000008700SERVICE CALL         
00000002920260126CH000002500MAINTENANCE          
00000003020260127CR000035000BULK PAYMENT         
00000003120260128FE000002200ADMIN FEE            
00000003220260129CH000005800INSTALLATION         
00000003320260130CR000028000SEASONAL DISCOUNT    
00000003420260101CH000007300HARDWARE             
00000003520260102CR000016000LOYALTY REWARD       
00000003620260103CH000003600BATTERY              
00000003720260104CH000009100EQUIPMENT            
00000003820260105CR000021000REFERRAL CREDIT      
00000003920260106FE000001500LATE FEE             
00000004020260107CH000004800SUPPORT              
00000004120260108CR000014000EXCHANGE             
00000004220260109CH000006200REPLACEMENT          
00000004320260110CH000001900SHIPPING             
00000004420260111CR000019000STORE CREDIT         
00000004520260112FE000002500COLLECTION FEE       
00000004620260113CH000008400HANDLING             
00000004720260114CR000023000ANNIVERSARY BONUS    
00000004820260115CH000003300INVENTORY            
00000004920260116CH000007700LOGISTICS            
00000005020260117CR000031000NEW YEAR SPECIAL     
00000005120260118FE000001600EXPEDITE FEE         
00000005220260119CH000005100WAREHOUSE            
00000005320260120CR000011000VALENTINE DEAL       
00000005420260121CH000008800DISTRIBUTION         
00000005520260122CH000002700TRANSPORT            
00000005620260123CR000026000BULK DISCOUNT        
00000005720260124FE000002300CANCELLATION FEE     
00000005820260125CH000004600DELIVERY             
00000005920260126CR000017000PRIORITY OFFER       
00000006020260127CH000009300PACKAGING            
00000006120260128CH000003100HANDLING CHARGE      
00000006220260129CR000029000SEASONAL OFFER       
00000006320260130FE000001900PROCESSING FEE       
00000006420260101CH000006500CUSTOM ORDER         
00000006520260102CR000013000TRADE-IN CREDIT      
00000006620260103CH000004100ASSEMBLY             
00000006720260104CH000007400TESTING              
00000006820260105CR000024000CLEARANCE SALE       
00000006920260106FE000002100RETURN FEE           
00000007020260107CH000005400INSPECTION           
00000007120260108CR000033000FLASH SALE           
00000007220260109CH000008300QUALITY CHECK        
00000007320260110CH000002200WARRANTY             
00000007420260111CR000020000EXTENDED WARRANTY    
00000007520260112FE000001700CLAIM FEE            
00000007620260113CH000006800INSURANCE            
00000007720260114CR000015500INSURANCE CREDIT     
00000007820260115CH000003500APPRAISAL            
00000007920260116CH000009400CERTIFICATION        
00000008020260117CR000032000MEMBERSHIP BONUS     
00000008120260118FE000002400MEMBERSHIP FEE       
00000008220260119CH000004900REGISTRATION         
00000008320260120CR000027000MEMBER DISCOUNT      
00000008420260121CH000007600ENROLLMENT           
00000008520260122CH000001600ACTIVATION BONUS     
00000008620260123CR000018500REFERRAL BONUS       
00000008720260124FE000001400VERIFY FEE           
00000008820260125CH000005700ACCOUNT SERVICE      
00000008920260126CR000021500ACCOUNT CREDIT       
00000009020260127CH000008900DISPUTE CHARGE       
00000009120260128CH000002900COMPLAINT FEE        
00000009220260129CR000034000PRIORITY MEMBER      
00000009320260130FE000002600ESCALATION FEE       
00000009420260101CH000006100RESOLUTION          
00000009520260102CR000012500RESOLUTION CREDIT    
00000009620260103CH000003800INCIDENT FEE         
00000009720260104CH000007900INCIDENT CHARGE      
00000009820260105CR000025500INCIDENT CREDIT      
00000009920260106CH000004300PROBLEM SOLVING      
00000010020260107CR000019500SATISFACTION BONUS   
